fecha,anio,mes,periodo,concepto_codigo,concepto_descripcion,concepto_nivel,subsector,valor_millones_pesos,fuente_archivo
2020-01-01,2020,1,mensual,III_RESULTADO_ECONOMICO,III) RESULT.ECON.: AHORRO/DESAHORRO (I-II),principal,ex_cajas_prov,-1155.3999999999996,aif-enero2020.xlsx
2020-01-01,2020,1,mensual,II_GASTOS_CORRIENTES,II) GASTOS CORRIENTES,principal,ex_cajas_prov,5633.4,aif-enero2020.xlsx
2020-01-01,2020,1,mensual,IV_RECURSOS_CAPITAL,IV) RECURSOS DE CAPITAL,principal,ex_cajas_prov,0.0,aif-enero2020.xlsx
2020-01-01,2020,1,mensual,IX_CONTRIBUCIONES_FIGURATIVAS,IX) CONTRIBUCIONES FIGURATIVAS,principal,ex_cajas_prov,1155.4,aif-enero2020.xlsx
2020-01-01,2020,1,mensual,I_INGRESOS_CORRIENTES,I) INGRESOS CORRIENTES,principal,ex_cajas_prov,4478.0,aif-enero2020.xlsx
2020-01-01,2020,1,mensual,VIII_RESULT_FINANCIERO_ANTES_FIGURAT,VIII) RESULT.FINANC.ANTES DE FIGURAT.(VI-VII),principal,ex_cajas_prov,-1155.3999999999996,aif-enero2020.xlsx
2020-01-01,2020,1,mensual,VII_GASTOS_ANTES_FIGURAT,VII) GASTOS ANTES DE FIGURAT.(II+V),principal,ex_cajas_prov,5633.4,aif-enero2020.xlsx
2020-01-01,2020,1,mensual,VI_INGRESOS_ANTES_FIGURAT,VI) INGRESOS ANTES DE FIGURAT.(I+IV),principal,ex_cajas_prov,4478.0,aif-enero2020.xlsx
2020-01-01,2020,1,mensual,V_GASTOS_CAPITAL,V) GASTOS DE CAPITAL,principal,ex_cajas_prov,0.0,aif-enero2020.xlsx
2020-01-01,2020,1,mensual,XIII_GASTOS_DESPUES_FIGURAT,XIII) GASTOS DESPUES DE FIGURAT.,principal,ex_cajas_prov,5633.4,aif-enero2020.xlsx
2020-01-01,2020,1,mensual,XII_GASTOS_PRIMARIOS_DESPUES_FIGURAT,XII) GASTOS PRIMARIOS DESPUES DE FIGURAT.,principal,ex_cajas_prov,5633.4,aif-enero2020.xlsx
2020-01-01,2020,1,mensual,XIV_RESULTADO_PRIMARIO,XIV) SUPERAVIT PRIMARIO  (XI-XII),principal,ex_cajas_prov,0.0,aif-enero2020.xlsx
2020-01-01,2020,1,mensual,XI_INGRESOS_DESPUES_FIGURAT,XI) INGRESOS DESPUES DE FIGURAT.,principal,ex_cajas_prov,5633.4,aif-enero2020.xlsx
2020-01-01,2020,1,mensual,XV_RESULTADO_FINANCIERO,XV) RESULTADO FINANCIERO  (XI-XIII),principal,ex_cajas_prov,0.0,aif-enero2020.xlsx
2020-01-01,2020,1,mensual,X_GASTOS_FIGURATIVOS,X) GASTOS FIGURATIVOS,principal,ex_cajas_prov,0.0,aif-enero2020.xlsx
